;;;;;;;Klassifikation der Berufe 2010 – überarbeitete Fassung 2020;
;;;;;;;;
Umsteigeschlüssel von der Klassifikation der Berufe 2010 – überarbeitete Fassung 2020 (5-Steller) zur ISCO-08 (4-Steller);;;;;;;;
;;;;;;;;
"KldB 2010
(5-Steller)";Bezeichnungen der KldB2010 (5-Steller);Classification title (English);"ISCO-08
(4-Steller)";Bezeichnungen der ISCO-08 (4-Steller);Unit Group (English);"Umstieg eindeutig (1);
nicht eindeutig (0)";"Schwerpunkt (1) und 
Anzahl der Alternativen";
12143;Berufe im Garten-, Landschafts- und Sportplatzbau - komplexe Spezialistentätigkeiten;Occupations in horticulture, landscape gardening, and sports field maintenance-complex tasks;6113;Gärtner, Saat- und Pflanzenzüchter;Gardeners, horticultural and nursery growers;1;1;
12144;Berufe im Garten-, Landschafts- und Sportplatzbau - hoch komplexe Tätigkeiten;Occupations in horticulture, landscape gardening, and sports field maintenance-highly complex tasks;2162;Landschaftsarchitekten;Landscape architects;1;1;
12193;Aufsichtskräfte - Gartenbau;Supervisors in gardening;6111;Ackerbauern und Gemüseanbauer;Field crop and vegetable growers;0;3;
12193;Aufsichtskräfte - Gartenbau;Supervisors in gardening;6112;Baum- und Strauchfrüchteanbauer;Tree and shrub crop growers;0;2;
12193;Aufsichtskräfte - Gartenbau;Supervisors in gardening;6113;Gärtner, Saat- und Pflanzenzüchter;Gardeners, horticultural and nursery growers;0;1;
12194;Führungskräfte - Gartenbau;Managers in gardening;6111;Ackerbauern und Gemüseanbauer;Field crop and vegetable growers;0;1;
12194;Führungskräfte - Gartenbau;Managers in gardening;6112;Baum- und Strauchfrüchteanbauer;Tree and shrub crop growers;0;2;
12202;Berufe in der Floristik - fachlich ausgerichtete Tätigkeiten;Occupations in floristry-skilled tasks;7549;Handwerks- und verwandte Berufe, anderweitig nicht genannt;Craft and related workers not elsewhere classified;1;1;
12203;Berufe in der Floristik - komplexe Spezialistentätigkeiten;Occupations in floristry-complex tasks;7549;Handwerks- und verwandte Berufe, anderweitig nicht genannt;Craft and related workers not elsewhere classified;1;1;
12293;Aufsichtskräfte - Floristik;Supervisors in floristry;3122;Produktionsleiter bei der Herstellung von Waren;Manufacturing supervisors;1;1;
12294;Führungskräfte - Floristik;Managers in floristry;3122;Produktionsleiter bei der Herstellung von Waren;Manufacturing supervisors;1;1;
21111;Berufe im Berg- und Tagebau - Helfer-/Anlerntätigkeiten;Occupations in underground and surface mining-unskilled/semiskilled tasks;9311;Hilfsarbeiter im Bergbau und in der Gewinnung von Steinen und Erden;Mining and quarrying labourers;1;1;
21112;Berufe im Berg- und Tagebau - fachlich ausgerichtete Tätigkeiten;Occupations in underground and surface mining-skilled tasks;8111;Bergleute und Grubenarbeiter;Miners and quarriers;1;1;
21113;Berufe im Berg- und Tagebau - komplexe Spezialistentätigkeiten;Occupations in underground and surface mining-complex tasks;3117;Bergbau- und Hüttentechniker;Mining and metallurgical technicians;0;1;
21113;Berufe im Berg- und Tagebau - komplexe Spezialistentätigkeiten;Occupations in underground and surface mining-complex tasks;3359;Fachkräfte in der öffentlichen Verwaltung, anderweitig nicht genannt;Government regulatory associate professionals not elsewhere classified;0;2;
21114;Berufe im Berg- und Tagebau - hoch komplexe Tätigkeiten;Occupations in underground and surface mining-highly complex tasks;2146;Bergbauingenieure, Metallurgen und verwandte Berufe;Mining engineers, metallurgists and related professionals;1;1;
21122;Berufe in der Sprengtechnik - fachlich ausgerichtete Tätigkeiten;Occupations in blasting engineering-skilled tasks;9313;Hilfsarbeiter im Hochbau;Building construction labourers;1;1;
21123;Berufe in der Sprengtechnik - komplexe Spezialistentätigkeiten;Occupations in blasting engineering-complex tasks;7542;Sprengmeister und Sprengbeauftragte;Shotfirers and blasters;1;1;
21124;Berufe in der Sprengtechnik - hoch komplexe Tätigkeiten;Occupations in blasting engineering-highly complex tasks;2149;Ingenieure, anderweitig nicht genannt;Engineering professionals not elsewhere classified;1;1;
21193;Aufsichtskräfte - Berg- und Tagebau und Sprengtechnik;Supervisors in underground and surface mining and blasting engineering;3121;Produktionsleiter im Bergbau;Mining supervisors;1;1;
21194;Führungskräfte - Berg- und Tagebau und Sprengtechnik;Managers in underground and surface mining and blasting engineering;1322;Führungskräfte in der Produktion im Bergbau;Mining managers;1;1;
