,isco_08_key,fraktion,Berufsgattung(ISCO-Stufe 4),Anzahl,median_brutto_group_mean
198,4413.0,Dienstleistungsarbeiter,"Kodierer, Korrekturleser und verwandte Bürokräfte",9310.0,3838.0
199,4415.0,Dienstleistungsarbeiter,Bürokräfte für Registratur und Dokumentation,12190.0,3498.0
200,4416.0,Dienstleistungsarbeiter,Bürokräfte im Personalwesen,136380.0,4555.5
201,4419.0,Dienstleistungsarbeiter,"Bürokräfte und verwandte Berufe, anderweitig nicht genannt",96620.0,3741.1666666666665
202,5111.0,Dienstleistungsarbeiter,Reisebegleiter und Stewards,25540.0,3601.0
203,5112.0,Dienstleistungsarbeiter,Schaffner,19470.0,2627.0
204,5113.0,Dienstleistungsarbeiter,Reiseleiter/Fremdenführer,12310.0,2821.0
205,5120.0,Industriearbeiter,Köche,258670.0,2676.75
206,5131.0,Dienstleistungsarbeiter,Kellner,475400.0,2771.5
207,5141.0,Dienstleistungsarbeiter,Friseure,208700.0,2080.0
208,5142.0,Dienstleistungsarbeiter,Kosmetiker und verwandte Berufe,96850.0,2814.0
209,5151.0,Anleitender Beschäftigter,"Reinigungs- und Hauswirtschaftsleiter in Büros, Hotels und anderen Einrichtungen",86180.0,2676.0
210,5153.0,Dienstleistungsarbeiter,Hauswarte,359780.0,2796.5
211,5163.0,Dienstleistungsarbeiter,Bestatter und Einbalsamierer,19760.0,3275.5
212,5164.0,Dienstleistungsarbeiter,Tierpfleger und -betreuer,65590.0,3001.0
213,5165.0,Dienstleistungsarbeiter,Fahrschullehrer,32610.0,3608.0
214,5211.0,Dienstleistungsarbeiter,Verkaufsstand- und Marktverkäufer,10710.0,3312.0
215,5222.0,Anleitender Beschäftigter,Verkaufsaufsichtskräfte in Handelsgeschäften,38320.0,3916.0
216,5223.0,Dienstleistungsarbeiter,Verkäufer und Verkaufshilfskräfte in Handelsgeschäften,2096790.0,2836.1428571428573
217,5230.0,Dienstleistungsarbeiter,Kassierer und Kartenverkäufer,165160.0,2603.0
218,5241.0,Dienstleistungsarbeiter,Mannequins/Dressmen und sonstige Modelle,1200.0,2892.0
219,5246.0,Dienstleistungsarbeiter,Imbissverkäufer,82660.0,2617.0
220,5249.0,Dienstleistungsarbeiter,"Verkaufskräfte, anderweitig nicht genannt",9760.0,3000.0
221,5311.0,Dienstleistungsarbeiter,Kinderbetreuer,221340.0,2871.0
222,5312.0,Dienstleistungsarbeiter,Lernbetreuer,70030.0,3476.0
223,5322.0,Dienstleistungsarbeiter,Haus- und Familienpfleger,292210.0,3029.0
224,5329.0,Dienstleistungsarbeiter,"Betreuungsberufe im Gesundheitswesen, anderweitig nicht genannt",13300.0,2756.0
225,5411.0,Staatsangestellte,Feuerwehrleute,56670.0,3746.0
226,5412.0,Staatsangestellte,Polizisten (ohne Polizeikommissare),189860.0,3231.0
227,5413.0,Staatsangestellte,Gefängnisaufseher,27310.0,3145.5
228,5414.0,Dienstleistungsarbeiter,Sicherheitswachpersonal,160920.0,4229.0
229,6112.0,Industriearbeiter,Baum- und Strauchfrüchteanbauer,16320.0,2700.0
230,6113.0,Industriearbeiter,"Gärtner, Saat- und Pflanzenzüchter",257700.0,2717.4
231,6121.0,Industriearbeiter,Nutztierhalter (ohne Geflügel) und Milchproduzenten,28390.0,3164.5
232,6122.0,Industriearbeiter,Geflügelhalter,2810.0,4451.0
233,6123.0,Industriearbeiter,Imker und Seidenraupenzüchter,1870.0,2326.0
234,6210.0,Industriearbeiter,Forstarbeitskräfte und verwandte Berufe,19650.0,3322.0
235,6221.0,Industriearbeiter,Fachkräfte im Bereich Aquakultur,1360.0,2800.0
236,7111.0,Industriearbeiter,Rohbaufacharbeiter im Hochbau,22000.0,3217.0
237,7112.0,Industriearbeiter,Maurer und verwandte Berufe,144180.0,3526.25
238,7113.0,Industriearbeiter,"Steinmetze, Steinspalter, -bearbeiter und Steinbildhauer",15960.0,2757.0
239,7114.0,Industriearbeiter,"Betonierer, Betonoberflächenfertiger und verwandte Berufe",90250.0,3289.6666666666665
240,7115.0,Industriearbeiter,Zimmerleute und Bautischler,118280.0,3126.5
241,7119.0,Industriearbeiter,"Baukonstruktions- und verwandte Berufe, anderweitig nicht genannt",28040.0,3197.0
242,7121.0,Industriearbeiter,Dachdecker,69030.0,2865.0
243,7122.0,Industriearbeiter,Boden- und Fliesenleger,87420.0,2970.3333333333335
244,7123.0,Industriearbeiter,Stuckateure,97080.0,3045.0
245,7124.0,Industriearbeiter,Isolierer,10690.0,3389.0
246,7125.0,Industriearbeiter,Glaser,13300.0,3162.0
247,7126.0,Industriearbeiter,Bauspengler und Sanitär- und Heizungsinstallateure,224340.0,3408.3333333333335
248,7127.0,Industriearbeiter,Klima- und Kälteanlagenbauer,22620.0,3597.0
249,7131.0,Industriearbeiter,Maler und verwandte Berufe,133750.0,2833.0
250,7132.0,Industriearbeiter,Lackierer und verwandte Berufe,67030.0,3193.0
251,7133.0,Dienstleistungsarbeiter,Fassadenreiniger und Schornsteinfeger/Rauchfangkehrer,16550.0,3655.0
252,7211.0,Industriearbeiter,Former und Kernmacher (für Metallguss),6320.0,3400.0
253,7212.0,Industriearbeiter,Schweißer und Brennschneider,109830.0,3315.0
254,7213.0,Industriearbeiter,Blechkaltverformer,49380.0,3244.0
255,7214.0,Industriearbeiter,Baumetallverformer und Metallbauer,119880.0,3289.5
256,7221.0,Industriearbeiter,"Grobschmiede, Hammerschmiede und Schmiedepresser",14030.0,3435.0
257,7222.0,Industriearbeiter,Werkzeugmechaniker und verwandte Berufe,158000.0,3816.0
258,7223.0,Industriearbeiter,Werkzeugmaschineneinrichter und -bediener,412030.0,3570.5
259,7224.0,Industriearbeiter,"Metallpolierer, Rundschleifer und Werkzeugschärfer",29380.0,3675.0
260,7231.0,Industriearbeiter,Kraftfahrzeugmechaniker und -schlosser,353740.0,3197.0
261,7233.0,Industriearbeiter,Landmaschinen- und Industriemaschinenmechaniker und -schlosser,618310.0,3653.5
262,7311.0,Industriearbeiter,Präzisionsinstrumentenmacher und -instandsetzer,52080.0,3505.5
263,7312.0,Industriearbeiter,Musikinstrumentenbauer und -stimmer,5220.0,2935.4
264,7314.0,Industriearbeiter,Keramiker und verwandte Berufe,5350.0,2975.0
265,7315.0,Industriearbeiter,"Glasmacher, -schneider, -schleifer und -veredler",3810.0,3274.5
