"","X","ISCO.Code","Stellung.im.Beruf","is_supervisor","self_employed","n_employees","Anzahl","control_work","control_daily","Bezeichnung","isco88","isco88com","simple_wright","power_wright","oesch8","egp7","siops"
"106",525,"2621","Arbeiter*innen & Angestellte",0,0,0,16690,4,2,"Archiv- und Museumswissenschaftler","2431","2431","Expert workers","Skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","54.00"
"107",530,"2622","Arbeiter*innen & Angestellte",0,0,0,16170,4,2,"Bibliothekswissenschaftler und verwandte Informationswissenschaftler","2432","2432","Expert workers","Skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","54.00"
"108",535,"2631","Arbeiter*innen & Angestellte",0,0,0,13980,4,2,"Volkswirtschaftler","2441","2441","Expert workers","Skilled workers","'(Associate) managers'","'I   Service class I'","60.00"
"109",540,"2632","Arbeiter*innen & Angestellte",0,0,0,18410,4,2,"Soziologen, Anthropologen und verwandte Wissenschaftler","2442","2442","Expert workers","Skilled workers","'Socio-cultural (semi-)professionals'","'I   Service class I'","68.51"
"110",545,"2633","Arbeiter*innen & Angestellte",0,0,0,6790,4,2,"Philosophen, Historiker und Politologen","2443","2443","Expert workers","Skilled workers","'Socio-cultural (semi-)professionals'","'I   Service class I'","56.30"
"111",550,"2634","Arbeiter*innen & Angestellte",0,0,0,75750,4,2,"Psychologen","2445","2445","Expert workers","Skilled workers","'Socio-cultural (semi-)professionals'","'I   Service class I'","66.00"
"112",555,"2635","Arbeiter*innen & Angestellte",0,0,0,391680,4,2,"Sozialarbeiter","2446","2446","Skilled workers","Skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","53.89"
"113",560,"2636","Arbeiter*innen & Angestellte",0,0,0,45290,4,2,"Geistliche, Seelsorger","2460","2460","Skilled workers","Skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","54.00"
"114",565,"2641","Arbeiter*innen & Angestellte",0,0,0,27630,4,2,"Autoren und verwandte schriftstellerische Berufe","2451","2451","Skilled workers","Skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","56.92"
"115",570,"2642","Arbeiter*innen & Angestellte",0,0,0,93360,4,2,"Journalisten","2451","2451","Skilled workers","Skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","62.99"
"116",575,"2643","Arbeiter*innen & Angestellte",0,0,0,18840,4,2,"Übersetzer, Dolmetscher und andere Linguisten","2444","2444","Expert workers","Skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","65.66"
"117",580,"2651","Arbeiter*innen & Angestellte",0,0,0,4430,4,2,"Bildende Künstler","2452","2452","Skilled workers","Skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","57.00"
"118",585,"2652","Arbeiter*innen & Angestellte",0,0,0,31350,4,2,"Musiker, Sänger und Komponisten","2453","2453","Skilled workers","Skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","46.09"
"119",590,"2653","Arbeiter*innen & Angestellte",0,0,0,1980,4,2,"Tänzer und Choreografen","2454","2454","Skilled workers","Skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","40.00"
"120",595,"2654","Arbeiter*innen & Angestellte",0,0,0,20650,4,2,"Regisseure und Produzenten im Film- und Bühnenbereich sowie in verwandten Bereichen","2455","2455","Skilled workers","Skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","66.78"
"121",600,"2655","Arbeiter*innen & Angestellte",0,0,0,6630,4,2,"Schauspieler","2455","2455","Skilled workers","Skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","56.79"
"122",605,"2656","Arbeiter*innen & Angestellte",0,0,0,1830,4,2,"Sprecher im Rundfunk, Fernsehen und sonstigen Medien","3472","3472","Skilled workers","Skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","50.00"
"123",610,"2659","Arbeiter*innen & Angestellte",0,0,0,2110,4,2,"Bildende und darstellende Künstler, anderweitig nicht genannt","3474","3474","Skilled workers","Skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","33.00"
"124",615,"3111","Arbeiter*innen & Angestellte",0,0,0,85760,4,2,"Chemo- und Physikotechniker","3111","3111","Skilled workers","Skilled workers","'Technical (semi-)professionals'","'II  Service class II'","46.00"
